"rules","support","confidence","coverage","lift","count"
"{COMP6240} => {COMP6730}",0.358024691358025,0.604166666666667,0.592592592592593,1.04122340425532,29
"{COMP6730} => {COMP6240}",0.358024691358025,0.617021276595745,0.580246913580247,1.04122340425532,29
"{COMP8430} => {COMP7240}",0.345679012345679,0.903225806451613,0.382716049382716,2.09032258064516,28
"{COMP7240} => {COMP8430}",0.345679012345679,0.8,0.432098765432099,2.09032258064516,28
"{COMP8410} => {COMP8430}",0.333333333333333,1,0.333333333333333,2.61290322580645,27
"{COMP8430} => {COMP8410}",0.333333333333333,0.870967741935484,0.382716049382716,2.61290322580645,27
"{COMP8410} => {COMP7240}",0.320987654320988,0.962962962962963,0.333333333333333,2.22857142857143,26
"{COMP7240} => {COMP8410}",0.320987654320988,0.742857142857143,0.432098765432099,2.22857142857143,26
"{COMP8410,COMP8430} => {COMP7240}",0.320987654320988,0.962962962962963,0.333333333333333,2.22857142857143,26
"{COMP7240,COMP8410} => {COMP8430}",0.320987654320988,1,0.320987654320988,2.61290322580645,26
"{COMP7240,COMP8430} => {COMP8410}",0.320987654320988,0.928571428571429,0.345679012345679,2.78571428571429,26
"{COMP7240} => {COMP6730}",0.246913580246914,0.571428571428571,0.432098765432099,0.984802431610942,20
"{COMP6730} => {COMP7240}",0.246913580246914,0.425531914893617,0.580246913580247,0.984802431610942,20
"{COMP8430} => {COMP6730}",0.197530864197531,0.516129032258065,0.382716049382716,0.889498970487303,16
"{COMP6730} => {COMP8430}",0.197530864197531,0.340425531914894,0.580246913580247,0.889498970487303,16
"{COMP7240,COMP8430} => {COMP6730}",0.160493827160494,0.464285714285714,0.345679012345679,0.800151975683891,13
"{COMP6730,COMP8430} => {COMP7240}",0.160493827160494,0.8125,0.197530864197531,1.88035714285714,13
"{COMP6730,COMP7240} => {COMP8430}",0.160493827160494,0.65,0.246913580246914,1.69838709677419,13
"{COMP8410} => {COMP6730}",0.148148148148148,0.444444444444444,0.333333333333333,0.765957446808511,12
"{COMP6730} => {COMP8410}",0.148148148148148,0.25531914893617,0.580246913580247,0.765957446808511,12
"{COMP8410,COMP8430} => {COMP6730}",0.148148148148148,0.444444444444444,0.333333333333333,0.765957446808511,12
"{COMP6730,COMP8410} => {COMP8430}",0.148148148148148,1,0.148148148148148,2.61290322580645,12
"{COMP6730,COMP8430} => {COMP8410}",0.148148148148148,0.75,0.197530864197531,2.25,12
"{COMP7240,COMP8410} => {COMP6730}",0.135802469135802,0.423076923076923,0.320987654320988,0.729132569558101,11
"{COMP6730,COMP8410} => {COMP7240}",0.135802469135802,0.916666666666667,0.148148148148148,2.12142857142857,11
"{COMP6730,COMP7240} => {COMP8410}",0.135802469135802,0.55,0.246913580246914,1.65,11
"{COMP7240,COMP8410,COMP8430} => {COMP6730}",0.135802469135802,0.423076923076923,0.320987654320988,0.729132569558101,11
"{COMP6730,COMP8410,COMP8430} => {COMP7240}",0.135802469135802,0.916666666666667,0.148148148148148,2.12142857142857,11
"{COMP6730,COMP7240,COMP8410} => {COMP8430}",0.135802469135802,1,0.135802469135802,2.61290322580645,11
"{COMP6730,COMP7240,COMP8430} => {COMP8410}",0.135802469135802,0.846153846153846,0.160493827160494,2.53846153846154,11
